tempo,x_A,y_A,x_B,y_B
0.0,1.1490142459033699,0.4959508325786198,1.0437577467182595,0.3888360831193728
0.25,2.023036838680903,0.7310738180874234,2.0520332988938277,0.7170262590733216
0.5,3.3878549485269818,1.8919247639535373,2.513880834493642,1.0176630692508029
0.75,4.8440057311159554,1.9240694856538543,3.7720276113030913,1.361881924503585
1.0,5.574915277905579,3.0465300462433618,4.560103710740097,1.462485551578424
1.25,6.897500848399116,3.13790541444897,5.283883428457173,2.2544515644607146
1.5,8.828602554329635,4.117673217588535,6.656805778426719,2.8100888708484204
1.75,10.036682031649097,5.413897080438156,8.125927098972051,3.2431877869754495
2.0,11.181738329380803,6.46347545786959,8.81505863987992,4.045162673596971
2.25,13.0659938195274,7.228829839195701,10.501651161260334,4.863150740915328
2.5,14.409361788930452,8.126595837864173,10.497947436515016,5.994888028427674
2.75,16.118345590057952,9.103217278419985,12.827215912602894,6.20721205352697
3.0,18.104846745985935,9.830636951276865,13.948694765632744,6.996619955926506
3.25,19.29698366853814,11.187272543933197,15.219975214215081,7.700246870431439
3.5,21.256718198633184,12.442453530002384,16.769463716831623,7.988884764442544
3.75,23.57324922509867,14.1235882807689,17.623084164329413,9.437207127687813
4.0,25.470344212286765,15.183730648160859,19.676033917519717,10.382585192014565
4.25,27.965241941714062,15.874313759842792,21.416811190808364,12.061553278906874
4.5,29.759850841859762,17.871418739205534,23.36594885858375,12.261646549275339
4.75,31.83437340572844,19.078023702971876,24.425164095808235,13.4453029123775
5.0,34.98808172745065,20.458213722488857,26.041322886873985,14.418618727152941
5.25,36.83549291630564,22.360922241490968,27.881730951440773,15.191332072585105
5.5,39.34283910656766,24.051235340619755,30.10042708692353,17.03639523145128
5.75,41.37902715703918,25.63422274541228,31.76314146193017,18.109450877547967
6.0,44.19152389231986,26.764363775291272,33.38945903564409,19.350212809919366
6.25,47.00101871239682,28.63304273885754,35.63139958477272,20.1078289248519
6.5,49.299863217095876,30.583249997163005,37.48073616803023,22.10793506747438
6.75,52.49980617969724,32.58298611878187,39.761561239095364,22.611702745678443
7.0,55.01335678012112,34.00140901896899,41.324867942804545,24.592186160398143
7.25,57.97700800409426,35.992689403775046,43.54686264634326,26.495846365162347
7.5,60.819488016331164,37.66809950779819,45.68236755406036,27.00283910246079
7.75,64.55568345535266,39.6411380127758,47.56094551556038,28.630110681119167
